County_State,CAGR
"Blaine County, ID",6.9178474915263966
"Highlands County, FL",6.916488201563031
"Salt Lake County, UT",6.91278648771263
"Nantucket County, MA",6.911548488079711
"Metcalfe County, KY",6.904229069392631
"Lake County, FL",6.9035395914023745
"Ellis County, TX",6.901519034181214
"Sierra County, CA",6.893748660266419
"Arapahoe County, CO",6.893290146416642
"Eagle County, CO",6.892428824495234
"White County, TN",6.889257557922734
"Seminole County, FL",6.888546448789246
"Snohomish County, WA",6.878312482818716
"Beaverhead County, MT",6.878015601231158
"Lake County, MT",6.86355490222692
"Burnet County, TX",6.855916778370186
"Bear Lake County, ID",6.854109994519897
"Coffee County, TN",6.851743761460161
"Leelanau County, MI",6.851705757944493
"Henry County, GA",6.847626941977114
"Lewis County, WA",6.839169115977994
"Utah County, UT",6.837102587939925
"Cheatham County, TN",6.836485735596787
"Warren County, TN",6.828435558989843
"Polk County, TN",6.825715532803911
"Union County, TN",6.821040926386357
"Collin County, TX",6.817926216969439
"Dekalb County, TN",6.8109107947258
"Meigs County, TN",6.809972819011834
"Ionia County, MI",6.809909061663344
"Banks County, GA",6.807550314840749
"Mohave County, AZ",6.803506841433249
"Linn County, OR",6.8026073224221495
"Sevier County, UT",6.796800644211998
"Mille Lacs County, MN",6.793619929907613
"Morgan County, AL",6.7923029624816555
"Iron County, UT",6.791866709973138
"Rutherford County, TN",6.783505126680733
"Anderson County, TN",6.777334715202565
"Gwinnett County, GA",6.772268542858595
"Colusa County, CA",6.771891374044436
"Klickitat County, WA",6.7693466513666145
"Gilpin County, CO",6.7677039391053295
"Custer County, CO",6.765694191321714
"Roscommon County, MI",6.764111324422162
"Malheur County, OR",6.763282843040885
"Pickens County, GA",6.758274716320911
"Johnson County, TX",6.7576473573856655
"Franklin County, WA",6.7573871822175
"Lincoln County, MT",6.753499736898805
"Gunnison County, CO",6.748987729352973
"Lemhi County, ID",6.745794438055763
"Huerfano County, CO",6.744121403411296
"Gilchrist County, FL",6.739211817061119
"Dukes County, MA",6.735479196177208
"Denver County, CO",6.732323053801781
"Perry County, OH",6.731658971072174
"Hall County, GA",6.725486313155349
"Tarrant County, TX",6.720590781032532
"Hill County, TX",6.719576159158369
"Missoula County, MT",6.713996587148818
"Monterey County, CA",6.710517725664156
"Mecklenburg County, NC",6.704756608643514
"Crane County, TX",6.682130602030534
"Benton County, AR",6.6785459750947185
"Macomb County, MI",6.675568171658175
"Elbert County, CO",6.6755181227378335
"Swain County, NC",6.673537307043964
"Lumpkin County, GA",6.667449904197809
"Lawrence County, TN",6.663447482768237
"Wilson County, TN",6.663431435125489
"Barrow County, GA",6.658932340528034
"Prowers County, CO",6.658373506426574
"San Mateo County, CA",6.65821601547818
"Jefferson County, CO",6.645774173786867
"Flagler County, FL",6.6340256927087005
"Keith County, NE",6.63305171368298
"Lake County, CA",6.630317588937484
"Navajo County, AZ",6.629531043776682
"Minidoka County, ID",6.627383553766153
"Davis County, IA",6.626470734931877
"Clay County, TN",6.612268672073385
"Cedar County, MO",6.603999474619671
"Jackson County, MI",6.602837219311786
"Fulton County, GA",6.5953354550822185
"Cowlitz County, WA",6.589052551815255
"Houston County, TN",6.578556468165897
"Clay County, KY",6.577209814118001
"Coconino County, AZ",6.574940761092929
"Travis County, TX",6.570434873114461
"Cooke County, TX",6.559566604361966
"Summit County, CO",6.550385716849649
"Flathead County, MT",6.546085050201489
"Columbia County, OR",6.545446948906797
"Dawson County, GA",6.5280288083210625
"White County, GA",6.527617419884435
"Douglas County, NV",6.522902460370172
"Cherokee County, GA",6.521056936403324
"Madison County, GA",6.513477364119025
"Archuleta County, CO",6.512975393514675
"Oakland County, MI",6.511271872881852
"Robertson County, TN",6.5066374094872925
"Davis County, UT",6.498365568669495
"Hamilton County, FL",6.493473730505417
"Monroe County, TN",6.493466711520179
"Bastrop County, TX",6.4801261099069585
"Sumner County, TN",6.474037188805637
"Denton County, TX",6.4731599284191255
