,GeoFips,GeoName,2022
122,48269,"King, TX",0.956084865824443
123,46037,"Day, SD",0.9532598012449492
124,38063,"Nelson, ND",0.952201603859419
125,8039,"Elbert, CO",0.9491897970658898
126,48243,"Jeff Davis, TX",0.9484802829817895
127,38069,"Pierce, ND",0.9481475679486177
128,21057,"Cumberland, KY",0.9478592790807492
129,48405,"San Augustine, TX",0.9461585615038824
130,12087,"Monroe, FL",0.9420346553213684
131,19167,"Sioux, IA",0.9368744967215
132,30009,"Carbon, MT",0.936416841866015
133,48341,"Moore, TX",0.9359089547768792
134,49053,"Washington, UT",0.935540468380502
135,49019,"Grand, UT",0.9343618668436188
136,19001,"Adair, IA",0.93254319577324
137,2068,"Denali Borough, AK",0.9299502614870376
138,8051,"Gunnison, CO",0.9297005601665836
139,21237,"Wolfe, KY",0.9285179805449184
140,48329,"Midland, TX",0.9274526735303884
141,31117,"McPherson, NE",0.9257577321360996
142,4021,"Pinal, AZ",0.923640473897936
143,13111,"Fannin, GA",0.9215032932971716
144,48069,"Castro, TX",0.9208173407583252
145,53059,"Skamania, WA",0.9206197927875304
146,46091,"Marshall, SD",0.91742340441952
147,18039,"Elkhart, IN",0.9152414898139368
148,8065,"Lake, CO",0.9112476092393702
149,19093,"Ida, IA",0.9069289270939134
150,5133,"Sevier, AR",0.9054295182258476
151,48453,"Travis, TX",0.900559573573972
152,38091,"Steele, ND",0.8998339334747365
153,37177,"Tyrrell, NC",0.8997429305912596
154,30001,"Beaverhead, MT",0.8991926685577132
155,19161,"Sac, IA",0.8988134395633847
156,13317,"Wilkes, GA",0.8977871821540007
157,48413,"Schleicher, TX",0.8962241666950392
158,13085,"Dawson, GA",0.8954899587174474
159,30095,"Stillwater, MT",0.8936495154527531
160,35059,"Union, NM",0.8927384076990377
161,48419,"Shelby, TX",0.8915857605177993
162,49039,"Sanpete, UT",0.8914794976819553
163,16073,"Owyhee, ID",0.8901555216045756
164,46073,"Jerauld, SD",0.8891418518614338
165,48299,"Llano, TX",0.8884236598454915
166,8093,"Park, CO",0.8851600985221675
167,27057,"Hubbard, MN",0.8849890618967957
168,13197,"Marion, GA",0.8849829182551865
169,35023,"Hidalgo, NM",0.8838677639046537
170,51127,"New Kent, VA",0.8838193274232544
171,48227,"Howard, TX",0.8802926991518376
172,49055,"Wayne, UT",0.8795368514807393
173,48283,"La Salle, TX",0.8786021071179473
174,29087,"Holt, MO",0.8783581624384467
175,13157,"Jackson, GA",0.8769451759636102
176,21189,"Owsley, KY",0.874683596829744
177,17009,"Brown, IL",0.8737377784901426
178,54093,"Tucker, WV",0.8727760423740323
179,16055,"Kootenai, ID",0.8726079147829318
180,37179,"Union, NC",0.8725188937795865
181,16023,"Butte, ID",0.869854426412203
182,30077,"Powell, MT",0.8692559767632382
183,46007,"Bennett, SD",0.8679666166685898
184,29149,"Oregon, MO",0.8660069185970136
185,16085,"Valley, ID",0.8651860398038651
186,37007,"Anson, NC",0.8641631379540895
187,20017,"Chase, KS",0.8638276490170216
188,37149,"Polk, NC",0.8612548805956597
189,46033,"Custer, SD",0.8610467534010575
190,41027,"Hood River, OR",0.8602539791989887
191,42115,"Susquehanna, PA",0.8598585322723253
192,48117,"Deaf Smith, TX",0.859770374340602
193,13081,"Crisp, GA",0.859287680373676
194,6055,"Napa, CA",0.8592251712328767
195,38031,"Foster, ND",0.8591606544050401
196,21077,"Gallatin, KY",0.8582289416846651
197,13139,"Hall, GA",0.8577622468129167
198,38083,"Sheridan, ND",0.8577444228177871
199,56023,"Lincoln, WY",0.856601445443328
200,13311,"White, GA",0.8560839792309429
201,46097,"Miner, SD",0.8531896969851684
202,30081,"Ravalli, MT",0.8529944995851642
203,38067,"Pembina, ND",0.8505292397045516
204,19197,"Wright, IA",0.850090639203426
205,13265,"Taliaferro, GA",0.8449215943192865
206,12115,"Sarasota, FL",0.8416208279459139
207,37109,"Lincoln, NC",0.8415193396375598
208,37055,"Dare, NC",0.8398974879717609
209,30015,"Chouteau, MT",0.8398323554065381
210,48127,"Dimmit, TX",0.8398182625627713
211,30097,"Sweet Grass, MT",0.8397620596709732
212,31149,"Rock, NE",0.8395454428853604
213,45027,"Clarendon, SC",0.838921815377121
214,49035,"Salt Lake, UT",0.8383037694013304
215,5061,"Howard, AR",0.8378283848904089
216,16033,"Clark, ID",0.8377264598398257
217,48113,"Dallas, TX",0.837173691118565
218,16019,"Bonneville, ID",0.8366966056223026
219,46115,"Spink, SD",0.8358376127982416
220,48461,"Upton, TX",0.8358235685411657
221,48449,"Titus, TX",0.8351248143695638
222,27151,"Swift, MN",0.8350693967294214
223,56017,"Hot Springs, WY",0.8345853016340123
224,35011,"De Baca, NM",0.8344897558421156
225,18027,"Daviess, IN",0.833685006141152
226,41069,"Wheeler, OR",0.8336739908022484
227,51131,"Northampton, VA",0.8333904305127326
228,31103,"Keya Paha, NE",0.8328323627027365
229,48159,"Franklin, TX",0.8327711303462322
230,16059,"Lemhi, ID",0.8310861169455925
231,47105,"Loudon, TN",0.8303549504815431
232,21105,"Hickman, KY",0.8297121393646991
233,17003,"Alexander, IL",0.8295484403738598
234,46087,"McCook, SD",0.8294306875140272
235,22023,"Cameron, LA",0.8294177435748511
236,12045,"Gulf, FL",0.8285692765412571
237,16027,"Canyon, ID",0.8272976018026719
238,38021,"Dickey, ND",0.8272398474662892
239,30063,"Missoula, MT",0.8272177823608604
240,37175,"Transylvania, NC",0.8271336235325155
241,31029,"Chase, NE",0.8266851106639839
242,19043,"Clayton, IA",0.8257965929028241
243,8035,"Douglas, CO",0.8257603652699022
244,29203,"Shannon, MO",0.8249681760320058
245,16043,"Fremont (includes Yellowstone Park), ID",0.8243766879329915
246,48351,"Newton, TX",0.8238786003929601
247,31129,"Nuckolls, NE",0.8238355376653248
248,5087,"Madison, AR",0.8225296604950942
249,38099,"Walsh, ND",0.8224285611459008
250,5147,"Woodruff, AR",0.8221425467188179
251,13259,"Stewart, GA",0.8219248058847568
252,38047,"Logan, ND",0.8212800443600845
253,45019,"Charleston, SC",0.8208330359903899
254,48369,"Parmer, TX",0.819980191128838
255,6097,"Sonoma, CA",0.8195407936841614
256,30067,"Park, MT",0.8186084002648473
257,19119,"Lyon, IA",0.8185847431871138
258,45037,"Edgefield, SC",0.8177412791773018
259,19003,"Adams, IA",0.8176615979796895
260,38079,"Rolette, ND",0.8173585868248199
261,48235,"Irion, TX",0.8164243561625251
262,17071,"Henderson, IL",0.8162614461635618
263,48083,"Coleman, TX",0.8161517477637505
264,21017,"Bourbon, KY",0.8157025842910661
265,48175,"Goliad, TX",0.8153134602591314
266,41013,"Crook, OR",0.8151345683327509
267,47037,"Davidson, TN",0.8133279637126687
268,46071,"Jackson, SD",0.8121030851804809
269,5127,"Scott, AR",0.8120912063953489
270,12035,"Flagler, FL",0.8116830433606779
271,48053,"Burnet, TX",0.8115775296032326
272,31123,"Morrill, NE",0.8114880191901546
273,8069,"Larimer, CO",0.8105619896461547
274,47187,"Williamson, TN",0.810069271517182
275,38081,"Sargent, ND",0.8099727838258164
276,21191,"Pendleton, KY",0.8094853612300779
277,8047,"Gilpin, CO",0.8085948158253751
278,48023,"Baylor, TX",0.807801754801992
279,18075,"Jay, IN",0.8072604163175008
280,8007,"Archuleta, CO",0.8051416407401342
281,47047,"Fayette, TN",0.804856490461342
282,51901,"Albemarle + Charlottesville, VA",0.803817246835443
283,37061,"Duplin, NC",0.8025281858558251
284,2013,"Aleutians East Borough, AK",0.8018673662238018
285,41025,"Harney, OR",0.8004319654427645
286,13263,"Talbot, GA",0.7994099149811715
