,County,Total Owner-Occupied Units,Mort=Y,Mort=N,Mort/Income <10%,Mort/Income 10-14.9%,Mort/Income 15-19.9%,Mort/Income 20-24.9%,Mort/Income 25-29.9%,Mort/Income 30-34.9%,Mort/Income 35-39.9%,Mort/Income 40-49.9%,Mort/Income >=50%,GEO_ID
56,"Marin County, California",67369,44861,4191,4480,7274,6924,4460,4252,3217,3003,6975,85,0500000US06041
57,"Mendocino County, California",21814,10027,839,806,1473,1407,653,730,615,1305,2074,125,0500000US06045
58,"Merced County, California",51369,36892,2977,5107,5183,4143,4494,4278,2055,2181,6107,367,0500000US06047
59,"Monterey County, California",68051,41307,2629,5184,6617,5939,5378,2563,3005,2956,6887,149,0500000US06053
60,"Napa County, California",31585,20096,1407,1902,2716,2701,2044,2208,1369,1626,3976,147,0500000US06055
61,"Nevada County, California",33520,19494,992,1479,3014,2661,1389,1869,1205,1887,4846,152,0500000US06057
62,"Orange County, California",605552,400998,29488,51613,68410,56426,43283,33133,21592,29871,64035,3147,0500000US06059
63,"Placer County, California",118314,82278,6203,11385,13500,13438,9928,5904,4826,4642,12125,327,0500000US06061
64,"Riverside County, California",527528,361831,19709,45693,57678,51968,45343,31797,20480,27383,59189,2591,0500000US06065
65,"Sacramento County, California",336714,230062,15358,33316,42515,36209,26567,17802,13496,14443,29131,1225,0500000US06067
66,"San Benito County, California",14513,10489,761,556,2061,1866,702,1390,788,877,1433,55,0500000US06069
67,"San Bernardino County, California",422060,289537,17725,33757,47258,41944,32283,26063,18001,22732,48404,1370,0500000US06071
68,"San Diego County, California",639298,444080,25291,55657,73979,68187,50189,37546,28231,32334,70122,2544,0500000US06073
69,"San Francisco County, California",141935,88355,8585,11383,15370,11739,10653,5962,4058,5800,14278,527,0500000US06075
70,"San Joaquin County, California",153146,108092,6120,15011,17127,19075,12683,7027,5907,10158,14353,631,0500000US06077
71,"San Luis Obispo County, California",68511,43658,3049,5048,7516,6892,5374,3190,2761,2169,7659,0,0500000US06079
72,"San Mateo County, California",153348,100110,9350,15706,14288,14986,10881,7117,4920,5565,16885,412,0500000US06081
73,"Santa Barbara County, California",76565,47419,4008,6630,8223,5620,4205,4864,3330,3907,6539,93,0500000US06083
74,"Santa Clara County, California",357366,233503,21904,40584,39700,32563,24144,17594,11281,13212,31383,1138,0500000US06085
75,"Santa Cruz County, California",57911,35418,2156,4799,6646,5032,3398,3030,1753,3251,5048,305,0500000US06087
76,"Shasta County, California",48374,29155,2027,4217,5403,3737,3359,2314,1225,1936,4906,31,0500000US06089
