,County,Total Population,Est. Pop Below Poverty Level,2022 Poverty Rate,GEO_ID
91,"Douglas County, Colorado",374401,11640,3.1089660551120324,0500000US08035
92,"El Paso County, Colorado",719513,59578,8.280322940655694,0500000US08041
93,"Jefferson County, Colorado",568189,36220,6.374639424557674,0500000US08059
94,"Larimer County, Colorado",356954,41334,11.579643315385175,0500000US08069
95,"Mesa County, Colorado",154491,15978,10.342350039808144,0500000US08077
96,"Pueblo County, Colorado",165088,24389,14.77333301027331,0500000US08101
97,"Weld County, Colorado",345091,30807,8.927210503896074,0500000US08123
98,"Capitol Planning Region, Connecticut",944074,96850,10.258729718221241,0500000US09110
99,"Greater Bridgeport Planning Region, Connecticut",317039,42701,13.468689971896202,0500000US09120
100,"Lower Connecticut River Valley Planning Region, Connecticut",166849,12261,7.348560674621964,0500000US09130
101,"Naugatuck Valley Planning Region, Connecticut",447221,41864,9.360919992576378,0500000US09140
102,"Northeastern Connecticut Planning Region, Connecticut",95320,8078,8.474611833822912,0500000US09150
103,"Northwest Hills Planning Region, Connecticut",112158,8860,7.899570249112858,0500000US09160
104,"South Central Connecticut Planning Region, Connecticut",548218,59322,10.820877825974339,0500000US09170
105,"Southeastern Connecticut Planning Region, Connecticut",268737,29881,11.119049479602735,0500000US09180
106,"Western Connecticut Planning Region, Connecticut",614491,45878,7.466016589339795,0500000US09190
107,"Kent County, Delaware",182448,17094,9.369244935543279,0500000US10001
108,"New Castle County, Delaware",559867,53722,9.595493215352931,0500000US10003
109,"Sussex County, Delaware",252792,22469,8.888335073894742,0500000US10005
110,"District of Columbia, District of Columbia",642853,85676,13.327463665876957,0500000US11001
111,"Alachua County, Florida",267956,51815,19.337129976563318,0500000US12001
112,"Bay County, Florida",181870,19711,10.837961181063397,0500000US12005
113,"Brevard County, Florida",621629,60456,9.725414998335019,0500000US12009
114,"Broward County, Florida",1928519,256237,13.286724165019894,0500000US12011
115,"Charlotte County, Florida",198957,17033,8.561146378363164,0500000US12015
116,"Citrus County, Florida",159751,29597,18.526957577730343,0500000US12017
117,"Clay County, Florida",223498,19823,8.869430598931533,0500000US12019
118,"Collier County, Florida",393949,41322,10.48917499473282,0500000US12021
119,"Columbia County, Florida",67987,13852,20.37448335711239,0500000US12023
120,"Duval County, Florida",994766,137025,13.774596236702902,0500000US12031
121,"Escambia County, Florida",304342,49909,16.39898535200531,0500000US12033
122,"Flagler County, Florida",125683,11531,9.174669605276769,0500000US12035
123,"Hernando County, Florida",203355,23921,11.763172776671338,0500000US12053
124,"Highlands County, Florida",104289,15080,14.459818389283624,0500000US12055
125,"Hillsborough County, Florida",1482234,190472,12.850332673518485,0500000US12057
126,"Indian River County, Florida",165342,20195,12.214077487873618,0500000US12061
127,"Lake County, Florida",405652,37297,9.194334059735931,0500000US12069
128,"Lee County, Florida",809051,90108,11.13749318646167,0500000US12071
129,"Leon County, Florida",279053,53400,19.136149763664967,0500000US12073
130,"Manatee County, Florida",424346,41708,9.828771804140962,0500000US12081
131,"Marion County, Florida",385181,62026,16.103078812298634,0500000US12083
132,"Martin County, Florida",158494,15529,9.797847237119386,0500000US12085
133,"Miami-Dade County, Florida",2632203,379727,14.426204969753472,0500000US12086
134,"Monroe County, Florida",80966,12531,15.476866832991625,0500000US12087
135,"Nassau County, Florida",96600,5083,5.261904761904762,0500000US12089
136,"Okaloosa County, Florida",211921,13792,6.5080855601851635,0500000US12091
137,"Orange County, Florida",1411405,176824,12.528225420768665,0500000US12095
