,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
250,"Campbell County, Kentucky",90532,90940,90908,90988,91833,92066,92211,92488,93152,93584,93076,93050,93300
251,"Christian County, Kentucky",74179,73591,75427,74167,74250,73309,72351,70416,71671,70461,72748,72357,73037
252,"Daviess County, Kentucky",96762,97234,97847,98218,98275,99259,99674,100374,101104,101511,103312,103063,103222
253,"Fayette County, Kentucky",296765,301569,305489,308428,310797,314488,318449,321959,323780,323152,322570,321793,320347
254,"Hardin County, Kentucky",106933,107456,107025,108191,108266,106439,107316,108071,110356,110958,110702,111607,111862
255,"Jefferson County, Kentucky",742172,746906,750828,756832,760026,763623,765352,771158,770517,766757,782969,777874,773399
256,"Kenton County, Kentucky",159876,160406,161711,163145,163929,165012,164945,165399,166051,166998,169064,169495,170313
257,"McCracken County, Kentucky",65539,65864,65549,65373,65316,65018,65162,65385,65346,65418,67875,67454,67490
258,"Madison County, Kentucky",83157,84188,84786,85590,87340,87824,89547,91226,92368,92987,92701,94666,95187
259,"Warren County, Kentucky",114172,115517,117110,118370,120460,122851,125532,128845,131264,132896,134554,137212,139843
260,"Ascension Parish, Louisiana",107891,109985,112286,114393,117029,119455,121587,122948,124672,126604,126500,128369,130458
261,"Bossier Parish, Louisiana",117522,119732,122197,123823,125064,125175,126057,127634,127185,127039,128746,129144,129276
262,"Caddo Parish, Louisiana",255543,257051,257093,254887,252603,251460,248851,246581,242922,240204,237848,233092,229025
263,"Calcasieu Parish, Louisiana",193230,194092,194493,195296,197204,198788,200601,202445,203112,203436,216785,205282,202418
264,"East Baton Rouge Parish, Louisiana",440909,441438,444526,445227,446042,446753,447037,446268,440956,440059,456781,453301,450544
265,"Iberia Parish, Louisiana",73236,73400,73999,73878,73913,74103,73273,72176,70941,69830,69929,68975,68327
266,"Jefferson Parish, Louisiana",432449,432640,433676,434767,435716,436275,436523,439036,434051,432493,440781,433688,425884
267,"Lafayette Parish, Louisiana",222051,224390,227055,230845,235644,240098,241398,242485,242782,244390,241753,244205,247866
268,"Lafourche Parish, Louisiana",96328,96666,97029,97141,98020,98325,98305,98426,98115,97614,97557,97504,95870
269,"Livingston Parish, Louisiana",128549,130251,131942,134053,135751,137788,140138,138228,139567,140789,142282,145830,148425
270,"Orleans Parish, Louisiana",347858,360740,369250,378715,384320,389617,391495,393292,391006,390144,383997,376971,369749
271,"Ouachita Parish, Louisiana",153910,154919,155363,156220,156325,156761,156983,155874,154475,153279,160368,158768,157702
272,"Rapides Parish, Louisiana",131779,132374,132373,132723,132488,132141,132424,131648,130562,129648,130023,128654,127189
273,"St. Landry Parish, Louisiana",83454,83552,83662,83454,83709,83848,83883,83497,82764,82124,82540,82071,81773
274,"St. Tammany Parish, Louisiana",234568,236785,239453,242333,245829,250088,253602,256327,258111,260419,264570,269388,273263
275,"Tangipahoa Parish, Louisiana",121425,122571,123441,125412,127049,128755,130710,132497,133777,134758,133157,135217,137048
276,"Terrebonne Parish, Louisiana",111861,111917,111893,112749,113328,113972,113220,112086,111021,110461,109580,108708,104786
277,"Androscoggin County, Maine",107623,107398,107609,107604,107440,107233,107319,107651,107679,108277,111139,111034,113023
278,"Aroostook County, Maine",71720,71482,70868,70055,69447,68628,67959,67653,67111,67055,67105,66859,67255
279,"Cumberland County, Maine",281457,282401,283921,285456,287797,289977,292041,292500,293557,295003,303069,305231,307451
280,"Kennebec County, Maine",122143,121935,121853,121164,121112,119980,120569,121821,122083,122302,123642,124486,125540
281,"Penobscot County, Maine",153849,153786,153746,153364,153414,152692,151806,151957,151096,152148,152199,152765,153704
282,"York County, Maine",197216,198199,199005,199431,200710,201169,202343,204191,206229,207641,211972,214591,216732
283,"Allegany County, Maryland",75021,74692,74012,73521,72952,72528,72130,71615,70975,70416,68106,67729,67267
284,"Anne Arundel County, Maryland",539198,544403,550488,555743,560133,564195,568346,573235,576031,579234,588261,590336,593286
285,"Baltimore County, Maryland",805709,809941,817455,823015,826925,831128,831026,832468,828431,827370,854535,849316,846161
286,"Calvert County, Maryland",88936,89256,89628,90484,90613,90595,91251,91502,92003,92525,92783,93928,94573
287,"Carroll County, Maryland",167241,167288,167217,167564,167830,167627,167656,167781,168429,168447,172891,173873,175305
288,"Cecil County, Maryland",101199,101694,101696,101913,102383,102382,102603,102746,102826,102855,103725,103905,104942
289,"Charles County, Maryland",147086,149130,150592,152864,154747,156118,157705,159700,161503,163257,166617,168698,170102
290,"Frederick County, Maryland",234122,236745,239582,241409,243675,245322,247591,252022,255648,259547,271717,279835,287079
291,"Harford County, Maryland",245177,246489,248622,249215,250105,250290,251032,252160,253956,255441,260924,262977,263867
292,"Howard County, Maryland",288376,293142,299430,304580,309284,313414,317233,321113,323196,325690,332317,334529,335411
293,"Montgomery County, Maryland",976203,989794,1004709,1016677,1030447,1040116,1043863,1058810,1052567,1050688,1062061,1054827,1052521
294,"Prince George's County, Maryland",865271,871233,881138,890081,904430,909535,908049,912756,909308,909327,967201,955306,946971
295,"St. Mary's County, Maryland",105786,107484,108987,109633,110382,111413,112587,112667,112664,113510,113777,114468,114877
296,"Washington County, Maryland",147558,148203,149180,149588,149573,149585,150292,150578,150926,151049,154705,154937,155590
297,"Wicomico County, Maryland",98843,99190,100647,100896,101539,102370,102577,102923,103195,103609,103588,103980,104664
298,"Baltimore city, Maryland",620583,619493,621342,622104,622793,621849,614664,611648,602495,593490,585708,576498,569931
299,"Barnstable County, Massachusetts",215937,215769,215423,214990,214914,214333,214276,213444,213413,212990,228996,232411,232457
300,"Berkshire County, Massachusetts",131144,130458,130016,129585,128715,127828,126903,126313,126348,124944,129026,128657,127859
301,"Bristol County, Massachusetts",548612,548922,551082,552780,554194,556772,558324,561483,564022,565217,579200,580164,580068
302,"Essex County, Massachusetts",744644,748930,755618,762550,769091,776043,779018,785205,790638,789034,809829,807074,806765
303,"Franklin County, Massachusetts",71369,71599,71540,71221,70862,70601,70382,70702,70963,70180,71029,71015,70894
304,"Hampden County, Massachusetts",463678,463783,465923,467319,468161,470690,468467,469818,470406,466372,465825,462718,461041
305,"Hampshire County, Massachusetts",158094,157822,159795,159596,160939,161292,161816,161834,161355,160830,162308,161572,162588
306,"Middlesex County, Massachusetts",1506008,1518171,1537215,1552802,1570315,1585139,1589774,1602947,1614714,1611699,1632002,1614742,1617105
307,"Norfolk County, Massachusetts",672376,675436,681845,687802,692254,696023,697181,700322,705388,706775,725981,724505,725531
308,"Plymouth County, Massachusetts",495780,497579,499759,501915,507022,510393,513565,515142,518132,521202,530819,533003,533069
309,"Suffolk County, Massachusetts",723323,730932,744426,755503,767254,778121,784230,797939,807252,803907,797936,771245,766381
310,"Worcester County, Massachusetts",799553,801227,806163,809106,813475,818963,819589,826116,830839,830622,862111,862029,862927
311,"Allegan County, Michigan",111503,111234,112039,112531,113847,114625,115548,116447,117327,118081,120502,120950,121210
312,"Bay County, Michigan",107703,107110,106935,106832,106179,105659,104747,104239,103923,103126,103856,102985,102821
313,"Berrien County, Michigan",156805,156941,156067,155252,155233,154636,154010,154259,154141,153401,154316,153101,152900
314,"Calhoun County, Michigan",136072,135490,135099,135012,134878,134314,134386,134128,134487,134159,134310,133819,133289
315,"Clinton County, Michigan",75426,75469,76001,76739,77297,77390,77888,78443,79332,79595,79128,79426,79748
316,"Eaton County, Michigan",107838,108056,108008,108348,108579,108801,109160,109027,109826,110268,109175,108944,108992
317,"Genesee County, Michigan",424926,422080,418408,415376,412895,410849,408615,407385,406892,405813,406211,404208,401983
318,"Grand Traverse County, Michigan",87043,88349,89112,89987,90782,91636,92084,91807,92573,93088,95238,95860,96464
319,"Ingham County, Michigan",280812,281613,281723,282234,284582,286085,288051,290186,292735,292406,284900,284034,284108
320,"Jackson County, Michigan",160201,159748,160309,160369,159741,159494,158460,158640,158823,158510,160366,160050,160066
321,"Kalamazoo County, Michigan",250738,252074,254580,256725,258818,260263,261654,262985,264870,265066,261670,261108,261173
322,"Kent County, Michigan",603219,608453,614462,621700,629237,636369,642173,648594,653786,656955,657974,658046,659083
323,"Lapeer County, Michigan",88210,88082,88173,88389,88153,88373,88340,88174,88028,87607,88619,88513,88780
324,"Lenawee County, Michigan",99763,99440,98987,99188,99047,98573,98504,98623,98266,98451,99423,98956,98567
325,"Livingston County, Michigan",180972,181722,182838,184443,185596,187316,188624,189651,191224,191995,193866,195014,196161
326,"Macomb County, Michigan",841126,842145,847383,854769,860112,864840,867730,871375,874759,873972,881217,876792,874195
327,"Marquette County, Michigan",67131,67694,67906,67700,67676,67215,66435,66502,66516,66699,66017,66103,66661
328,"Midland County, Michigan",83592,84063,83822,83919,83427,83632,83462,83411,83209,83156,83494,83457,83674
329,"Monroe County, Michigan",151932,151560,151048,150376,149824,149568,149208,149649,150439,150500,154809,155274,155609
330,"Muskegon County, Michigan",172068,171302,170182,171008,172344,172790,173408,173693,173588,173566,175824,176511,176565
331,"Oakland County, Michigan",1203012,1210145,1220657,1231640,1237868,1242304,1243970,1250836,1259201,1257584,1274395,1270017,1269431
332,"Ottawa County, Michigan",264055,266300,269099,272701,276292,279955,282250,286383,290494,291830,296200,299157,300873
333,"Saginaw County, Michigan",199911,199088,198353,196542,195012,193307,192326,191934,190800,190539,190124,189591,188330
334,"St. Clair County, Michigan",162789,161642,160644,160469,160078,159875,159587,159350,159337,159128,160383,160053,160151
335,"Shiawassee County, Michigan",70606,69841,69232,68900,68933,68619,68554,68446,68192,68122,68094,67877,68022
336,"Van Buren County, Michigan",76186,76131,75454,75455,75199,75077,75223,75353,75448,75677,75587,75658,75692
337,"Washtenaw County, Michigan",345290,347962,350946,354240,356874,358880,364709,367627,370963,367601,372258,369390,366376
338,"Wayne County, Michigan",1815734,1802096,1792365,1775273,1764804,1759335,1749366,1753616,1753893,1749343,1793561,1774816,1757043
339,"Anoka County, Minnesota",331302,333140,336414,339534,341864,344151,345957,351373,353813,356921,363887,367018,368864
340,"Carver County, Minnesota",91361,92638,93707,95562,97338,98741,100262,102119,103551,105089,106922,108626,110034
341,"Dakota County, Minnesota",399100,402006,405088,408509,412529,414686,417486,421751,425423,429021,439882,442038,443341
342,"Hennepin County, Minnesota",1154623,1168431,1184576,1198778,1212064,1223149,1232483,1252024,1259428,1265843,1281565,1267416,1260121
343,"Olmsted County, Minnesota",144509,145769,147066,149226,150287,151436,153102,154930,156277,158293,162847,163436,164020
344,"Ramsey County, Minnesota",509320,514696,520152,526714,532655,538133,540649,547974,550210,550321,552352,543257,536413
345,"St. Louis County, Minnesota",200155,200255,200319,200540,200949,200431,199980,200000,199754,199070,200231,199182,199532
346,"Scott County, Minnesota",130487,132556,135152,137232,139672,141660,143680,145827,147381,149013,150928,153268,154520
347,"Sherburne County, Minnesota",88691,89319,89455,90158,91126,91705,93528,94570,96036,97238,97183,99074,100824
348,"Stearns County, Minnesota",150785,151343,151606,152092,152912,154708,155652,157822,159256,161075,158292,158947,160405
349,"Washington County, Minnesota",238844,241280,244088,246603,249283,251597,253117,256348,259201,262440,267568,272256,275912
350,"Wright County, Minnesota",125118,126437,127336,128470,129918,131311,132550,134286,136349,138377,141337,144845,148003
351,"DeSoto County, Mississippi",161746,164053,166234,168240,170913,173323,175611,178751,182001,184945,185314,188633,191723
352,"Forrest County, Mississippi",75113,75842,76894,77059,76330,75944,75979,75471,75036,74897,78158,77875,78110
353,"Harrison County, Mississippi",187785,191040,194029,196500,199058,201410,203234,205027,206650,208080,208621,209396,211044
354,"Hinds County, Mississippi",245629,248184,248643,244899,243729,242891,241229,239497,237085,231840,227742,222679,217730
355,"Jackson County, Mississippi",139698,139901,140298,140450,141137,141425,141241,142152,143277,143617,143252,143987,144975
356,"Jones County, Mississippi",67870,68075,68641,68961,68290,68215,67953,67930,68461,68098,67246,66744,66569
357,"Lauderdale County, Mississippi",80229,80475,80220,80254,79739,78524,77755,76155,75317,74125,72984,72088,70904
358,"Lee County, Mississippi",83048,84156,85042,85340,85246,85300,85381,84933,85202,85436,83343,82883,82959
359,"Madison County, Mississippi",95552,96941,98468,100412,101688,103465,105114,104618,105630,106272,109145,109813,111113
360,"Rankin County, Mississippi",142018,143702,145165,146767,148070,149039,150228,152080,153902,155271,157031,158096,158979
361,"Boone County, Missouri",163232,165627,168535,170773,172717,174974,176594,178271,180005,180463,183610,185840,187690
362,"Buchanan County, Missouri",89144,89666,89706,89631,89486,89100,88938,89065,88571,87364,84793,83853,82911
363,"Cape Girardeau County, Missouri",75895,76632,76950,77320,78043,78572,78913,78161,78753,78871,81710,82113,82899
364,"Cass County, Missouri",99723,100052,100376,100641,100889,101603,102845,103724,104954,105780,107824,109638,110394
365,"Christian County, Missouri",77825,78570,79824,80899,82101,83279,84401,85432,86983,88595,88842,91499,93114
366,"Clay County, Missouri",222718,225161,227577,230473,233682,235637,239085,242874,246365,249948,253335,255518,257033
367,"Cole County, Missouri",76182,76448,76363,76699,76557,76720,76631,76708,76796,76745,77279,77205,76969
368,"Franklin County, Missouri",101508,101938,101412,101816,102084,102426,102838,103330,103670,103967,104682,105231,105879
369,"Greene County, Missouri",275414,277214,280626,283870,285865,288072,288690,289805,291923,293086,298915,300865,303293
370,"Jackson County, Missouri",675259,676360,677377,679996,683191,687623,691801,698895,700307,703011,717204,716862,716531
371,"Jasper County, Missouri",117770,118435,115258,116398,117543,118596,119111,120217,120636,121328,122761,123155,124075
372,"Jefferson County, Missouri",219084,219480,220209,221396,222716,224124,224226,223810,224347,225081,226739,227771,229336
373,"Platte County, Missouri",89677,90903,92054,93310,94788,96096,98309,101187,102985,104418,106718,108569,110534
374,"St. Charles County, Missouri",361602,365151,368666,373495,379493,385590,390918,395504,399182,402022,405262,409981,413803
375,"St. Francois County, Missouri",65498,65578,65917,66215,65960,66520,66627,66705,66692,67215,66922,67541,66969
376,"St. Louis County, Missouri",998881,998692,1000438,1001444,1001876,1003362,998581,996726,996945,994205,1004125,997187,990414
377,"St. Louis city, Missouri",319156,318069,318172,318416,317419,315685,311404,308626,302838,300576,301578,293310,286578
378,"Cascade County, Montana",81519,81837,81723,82384,82344,82278,81755,81654,81643,81366,84414,84511,84864
379,"Flathead County, Montana",90901,91301,91633,93068,94924,96165,98082,100000,102106,103806,104357,108454,111814
380,"Gallatin County, Montana",89658,91377,92614,94720,97308,100739,104502,107810,111876,114434,118960,122713,124857
381,"Missoula County, Montana",109494,110138,110977,111807,112684,114181,116130,117441,118791,119600,117922,119533,121041
382,"Yellowstone County, Montana",148432,150069,151882,154162,155634,157048,158437,158980,160137,161300,164731,167146,169852
383,"Douglas County, Nebraska",518777,524861,531265,537256,543244,550064,554995,561620,566880,571327,584526,585008,586327
384,"Lancaster County, Nebraska",286141,289800,293407,297036,301795,306468,309637,314358,317272,319090,322608,324514,324756
385,"Sarpy County, Nebraska",159709,162561,165853,169331,172193,175692,179023,181439,184459,187196,190604,193418,196553
386,"Clark County, Nevada",1954260,1969975,2000759,2027868,2069681,2114801,2155664,2204079,2231647,2266715,2265461,2292476,2322985
387,"Washoe County, Nevada",422528,425710,429908,433731,440078,446903,453616,460587,465735,471519,486492,493392,496745
388,"Cheshire County, New Hampshire",77049,76918,76851,76610,76115,75909,75774,75960,76493,76085,76458,77329,77350
389,"Grafton County, New Hampshire",89108,88923,89181,89629,89658,89320,88888,89386,89786,89886,91118,92201,91126
390,"Hillsborough County, New Hampshire",401057,401696,402922,403985,405184,406678,407761,409697,415247,417025,422937,424079,426594
391,"Merrimack County, New Hampshire",146400,146579,146761,146849,147171,147994,148582,149216,151132,151391,153808,155238,156020
392,"Rockingham County, New Hampshire",295360,296207,297820,299134,300621,301777,303251,306363,309176,309769,314176,316947,319424
393,"Strafford County, New Hampshire",123198,123857,124119,124593,125604,126825,127428,128613,130090,130633,130889,132416,132275
394,"Atlantic County, New Jersey",274685,274338,275422,275862,275209,274219,270991,269918,265429,263670,274534,274966,275638
395,"Bergen County, New Jersey",906541,911004,918888,925328,933572,938506,939151,948406,936692,932202,955732,953819,952997
396,"Burlington County, New Jersey",449149,449576,451336,450838,449722,450226,449284,448596,445384,445349,461860,464269,466103
397,"Camden County, New Jersey",513607,513241,513539,512854,511038,510923,510150,510719,507078,506471,523485,523771,524907
398,"Cape May County, New Jersey",97253,96601,96304,95897,95344,94727,94430,93553,92560,92039,95263,95661,95634
399,"Cumberland County, New Jersey",157149,157095,157785,157332,157389,155854,153797,152538,150972,149527,154152,153627,151356
400,"Essex County, New Jersey",784228,785137,787744,789565,795723,797434,796914,808285,799767,798975,863728,854917,849477
401,"Gloucester County, New Jersey",288581,289104,289586,290265,290951,291479,292330,292206,291408,291636,302294,304477,306601
402,"Hudson County, New Jersey",635294,641224,652302,660282,669115,674836,677983,691643,676061,672391,724854,702463,703366
403,"Hunterdon County, New Jersey",128373,128038,127050,126250,126067,125488,124676,125059,124714,124371,128947,129924,129777
404,"Mercer County, New Jersey",366789,367063,368303,370414,371537,371398,371023,374733,369811,367430,387340,385898,380688
405,"Middlesex County, New Jersey",810986,814217,823041,828919,836297,840900,837073,842798,829685,825062,863162,860807,861418
406,"Monmouth County, New Jersey",630966,631020,629384,629672,629279,628715,625846,626351,621354,618795,643615,645354,644098
407,"Morris County, New Jersey",492694,494976,497999,499397,499727,499509,498423,499693,494228,491845,509285,510981,511151
408,"Ocean County, New Jersey",577603,579369,580470,583414,586301,588721,592497,597943,601651,607186,637229,648998,655735
409,"Passaic County, New Jersey",501860,502007,502885,505672,508856,510916,507945,512607,503310,501826,524118,518117,513936
410,"Salem County, New Jersey",66058,65902,65774,65166,64715,64180,63436,62792,62607,62385,64837,65046,65117
411,"Somerset County, New Jersey",324194,324893,327707,330585,332568,333654,333751,335432,331164,328934,345361,345647,346875
412,"Sussex County, New Jersey",149239,148517,147442,145992,144909,143673,142522,141682,140799,140488,144221,145543,146084
413,"Union County, New Jersey",537661,539494,543976,548256,552939,555786,555630,563892,558067,556341,575345,572114,569815
414,"Warren County, New Jersey",108714,108339,107653,107379,106917,106869,106617,106798,105779,105267,109632,110731,110926
415,"Bernalillo County, New Mexico",664639,670968,673460,674221,675551,676685,676953,676773,678701,679121,676444,674393,672508
416,"McKinley County, New Mexico",71797,73664,73016,73308,74098,76708,74923,72564,72290,71367,72902,71780,69830
417,"Sandoval County, New Mexico",132330,134259,135588,136575,137608,139394,142025,142507,145179,146748,148834,151369,153501
418,"San Juan County, New Mexico",130145,128200,128529,126503,123785,118737,115079,126926,125043,123958,121661,120993,120418
419,"Santa Fe County, New Mexico",144606,145648,146375,147423,148164,148686,148651,148750,150056,150358,154823,155201,155664
420,"Valencia County, New Mexico",76759,77070,76631,76284,75817,75737,75626,75940,76456,76688,76205,77190,78080
421,"Albany County, New York",303833,303565,305455,306945,308171,309381,308846,309612,307117,305506,314848,313743,315811
422,"Bronx County, New York",1386657,1392002,1408473,1418733,1438159,1455444,1455720,1471160,1432132,1418207,1472654,1424948,1379946
423,"Broome County, New York",200272,199031,198060,197534,197349,196567,195334,193639,191659,190488,198683,197240,197117
424,"Cattaraugus County, New York",80229,79832,79458,78892,78600,77922,77677,77348,76840,76117,77042,76426,76439
425,"Cayuga County, New York",79978,79738,79552,79477,78823,78288,77861,77603,77145,76576,76248,75880,74998
426,"Chautauqua County, New York",134768,134368,133539,133080,132053,130779,129504,129046,127939,126903,127657,126807,126027
427,"Chemung County, New York",88824,88840,88911,88506,87770,87071,86322,85557,84254,83456,84148,83045,81426
428,"Clinton County, New York",82115,81945,81654,81591,81632,81251,81073,80980,80695,80485,79843,79596,78753
429,"Dutchess County, New York",297577,297999,297322,296916,296579,295754,294473,295568,293718,294218,295911,297112,297545
430,"Erie County, New York",918652,918028,919086,919866,922835,922578,921046,925528,919719,918702,954236,950683,950312
431,"Jefferson County, New York",116582,117910,120262,119504,119103,117635,114006,114187,111755,109834,116721,116295,116637
432,"Kings County, New York",2508340,2532645,2565635,2592149,2621793,2636735,2629150,2648771,2582830,2559903,2736074,2641052,2590516
433,"Madison County, New York",73439,73365,72382,72382,72369,71849,71329,70965,70795,70941,68016,67658,67097
434,"Monroe County, New York",744389,745625,747813,749606,749857,749600,747727,747642,742474,741770,759443,755160,752035
435,"Nassau County, New York",1341245,1344436,1349233,1352146,1358627,1361350,1361500,1369514,1358343,1356924,1395774,1390907,1383726
436,"New York County, New York",1586698,1601948,1619090,1626159,1636268,1644518,1643734,1664727,1628701,1628706,1694251,1576876,1596273
437,"Niagara County, New York",216546,216011,215124,214249,213525,212652,211758,211328,210433,209281,212666,211653,210880
438,"Oneida County, New York",234845,234287,233556,233585,232871,232500,231190,231332,229577,228671,232125,230274,228846
439,"Onondaga County, New York",467204,466960,466852,468387,468196,468463,466194,465398,461809,460528,476516,473236,468249
440,"Ontario County, New York",108116,108525,108519,109103,109707,109561,109828,109899,109864,109777,112458,112508,112707
441,"Orange County, New York",373355,374872,374512,375592,376099,377647,379210,382226,381951,384940,401310,404525,405941
442,"Oswego County, New York",122114,122228,121700,121165,120913,120146,118987,118478,117898,117124,117525,117387,118287
443,"Putnam County, New York",99713,99933,99607,99645,99487,99042,98900,99323,98892,98320,97668,97936,98045
444,"Queens County, New York",2233841,2247848,2272771,2296175,2321580,2339150,2333054,2358582,2278906,2253858,2405464,2331143,2278029
445,"Rensselaer County, New York",159428,159395,159835,159918,159774,160266,160070,159722,159442,158714,161130,160232,159853
446,"Richmond County, New York",469363,470467,470728,472621,473279,474558,476015,479458,476179,476143,495747,493494,491133
447,"Rockland County, New York",312183,315158,317757,320903,323866,326037,326780,328868,325695,325789,338329,339227,339022
448,"St. Lawrence County, New York",111894,111690,112232,111963,111400,111007,110038,109623,108047,107740,108505,108051,107733
449,"Saratoga County, New York",219960,220882,222133,223865,224921,226249,227053,229869,230163,229863,235509,237359,238797
450,"Schenectady County, New York",154889,155058,155124,155333,155735,154604,154553,155565,155350,155299,158061,158089,160093
451,"Steuben County, New York",98930,99033,99063,98650,98394,97631,96940,96281,95796,95379,93584,92948,92599
452,"Suffolk County, New York",1494434,1498816,1499273,1499738,1502968,1501587,1492583,1492953,1481093,1476601,1525920,1526344,1525465
453,"Sullivan County, New York",77500,76900,76793,76665,75943,74877,74801,75485,75498,75432,78624,79806,79658
454,"Tompkins County, New York",101620,101723,102554,103617,104691,104926,104871,104802,102793,102180,105740,105162,104777
455,"Ulster County, New York",182435,182448,181791,180998,180445,180143,179225,179417,178599,177573,181851,182951,182319
456,"Warren County, New York",65697,65831,65538,65337,64973,64688,64567,64532,64265,63944,65737,65618,65599
457,"Wayne County, New York",93753,93436,92962,92473,92051,91446,90798,90670,90064,89918,91283,90923,91125
458,"Westchester County, New York",950541,955899,961670,968802,972634,976396,974542,980244,967612,967506,1004457,997895,990427
459,"Alamance County, North Carolina",151528,153291,153920,154378,155792,158276,159688,162391,166436,169509,171415,173877,176353
460,"Brunswick County, North Carolina",107992,110097,112257,115301,118836,122765,126953,130897,136744,142820,136693,144215,153064
461,"Buncombe County, North Carolina",238832,241419,244490,247912,250539,253178,256088,257607,259103,261191,269452,271534,273589
462,"Burke County, North Carolina",90771,90904,90505,89842,89486,88842,88851,89293,90382,90485,87570,87611,87881
463,"Cabarrus County, North Carolina",178588,181468,184498,187226,192103,196762,201590,206872,211342,216453,225804,231278,235797
464,"Caldwell County, North Carolina",82998,82395,81930,81990,81484,81287,81449,81981,82029,82178,80652,80463,80492
465,"Carteret County, North Carolina",66685,67373,67632,68434,68811,68879,68890,68881,69524,69473,67686,68541,69380
466,"Catawba County, North Carolina",154389,154181,154339,154810,154534,155056,156459,157974,158652,159551,160610,161723,163462
467,"Cleveland County, North Carolina",98050,97489,97474,97047,97076,96879,97144,97334,97645,97947,99519,100359,100670
468,"Craven County, North Carolina",103908,104786,104770,104489,104510,103451,103445,102578,102912,102139,100720,100674,100874
469,"Cumberland County, North Carolina",320267,324885,324049,325871,326328,323838,327127,332546,332330,335509,334728,335508,336699
470,"Davidson County, North Carolina",162930,162697,163260,163420,164072,164622,164926,165466,166614,167609,168930,170637,172586
471,"Durham County, North Carolina",268454,273392,279641,288133,294460,300952,306212,311640,316739,321488,324833,326126,332680
472,"Forsyth County, North Carolina",351335,354952,358137,361220,365298,369019,371511,376320,379099,382295,382590,385523,389157
473,"Gaston County, North Carolina",206213,207031,208049,209420,211127,213442,216965,220182,222846,224529,227943,230856,234215
474,"Guilford County, North Carolina",489681,495279,500879,506610,512119,517600,521330,526953,533670,537174,541299,542410,546101
475,"Harnett County, North Carolina",115733,119256,122135,124987,126666,128140,130881,132754,134214,135976,133568,135966,138832
476,"Henderson County, North Carolina",106978,107927,108266,109540,111149,112655,114209,115708,116748,117417,116281,116829,118106
477,"Iredell County, North Carolina",159771,161202,162708,164517,166675,169866,172916,175711,178435,181806,186693,191968,195897
478,"Johnston County, North Carolina",169735,172595,174938,177967,181423,185660,191450,196708,202675,209339,215999,226504,234778
479,"Lincoln County, North Carolina",78450,78932,79313,79740,79829,81035,81168,82403,83770,86111,86810,89670,93095
480,"Mecklenburg County, North Carolina",923427,944373,969031,990977,1012539,1034070,1054835,1076837,1093901,1110356,1115482,1122276,1145392
481,"Moore County, North Carolina",88569,89352,90302,91587,93077,94352,95776,97264,98682,100880,99727,102763,105531
482,"Nash County, North Carolina",95938,96116,95708,95093,94357,93919,94005,93991,94016,94298,94970,95176,95789
483,"New Hanover County, North Carolina",203341,206189,209234,213267,216298,220358,223483,227198,232274,234473,225702,229018,234921
484,"Onslow County, North Carolina",179471,179719,183263,185220,187589,186311,187136,193893,197683,197938,204576,206160,207298
485,"Orange County, North Carolina",134197,135755,137941,140352,140420,141354,141796,144946,146027,148476,148696,148884,150477
486,"Pitt County, North Carolina",168817,171134,172554,174263,175354,175842,177220,179042,179914,180742,170243,172169,173542
487,"Randolph County, North Carolina",141960,142358,142466,142577,142778,142799,143416,143282,143351,143667,144171,145172,146043
488,"Robeson County, North Carolina",134473,135517,135496,134841,134760,134197,133235,132606,131831,130625,116530,116328,116663
489,"Rockingham County, North Carolina",93641,93329,92720,91878,91696,91758,91393,90949,90690,91010,91096,91266,91957
490,"Rowan County, North Carolina",138446,138019,138180,138323,138630,139142,139933,140644,141262,142088,146875,148150,149645
491,"Surry County, North Carolina",73694,73714,73561,73050,72968,72743,72113,72224,71948,71783,71359,71152,71403
492,"Union County, North Carolina",202206,205463,208520,212756,218568,222742,226606,231366,235908,239859,238267,243648,249070
493,"Wake County, North Carolina",906969,929780,952151,974289,998691,1024198,1046791,1072203,1092305,1111761,1129410,1150204,1175021
494,"Wayne County, North Carolina",122907,123697,124246,124583,124456,124132,124150,124172,123248,123131,117333,116835,117286
495,"Wilkes County, North Carolina",69287,68984,69306,69023,68838,68502,68740,68576,68557,68412,65969,65806,65784
496,"Wilson County, North Carolina",81359,81452,81867,81667,81401,81714,81661,81671,81455,81801,78784,78369,78449
497,"Burleigh County, North Dakota",81666,83145,85774,88457,90503,92991,94487,95030,95273,95626,98458,98933,99280
498,"Cass County, North Dakota",150230,152368,156157,162829,167005,171512,175249,177787,181516,181923,184525,186562,192734
499,"Grand Forks County, North Dakota",66991,66598,67472,69179,70138,70916,71083,70795,70770,69451,73170,72705,72413
500,"Allen County, Ohio",106205,106094,105141,105298,105040,104425,103742,103198,102663,102351,102206,101670,101115
501,"Ashtabula County, Ohio",101429,101345,100389,99811,99175,98632,98231,97807,97493,97241,97574,97337,97014
502,"Belmont County, Ohio",70319,70151,69671,69571,69461,69154,68673,68029,67505,67006,66497,65849,65509
503,"Butler County, Ohio",368630,369999,370589,371272,374158,376353,377537,380604,382378,383134,390357,390234,388420
504,"Clark County, Ohio",138193,137691,137206,136167,136554,135959,134786,134557,134585,134083,136001,135633,134831
505,"Clermont County, Ohio",197604,199139,199085,200218,201560,201973,203022,204214,205466,206428,208601,209642,210805
