,GeoName,Income,Year,GeoFips
152,"Sheridan, MT",48996,2010,30091
153,"Saratoga, NY",48990,2010,36091
154,"Queen Anne's, MD",48963,2010,24035
155,"Orange, NC",48962,2010,37135
156,"Delaware, PA",48893,2010,42045
157,"Santa Cruz, CA",48843,2010,06087
158,"Borden, TX",48795,2010,48033
159,"Rockland, NY",48658,2010,36087
160,"Orange, CA",48646,2010,06059
161,"Fort Bend, TX",48614,2010,48157
162,"Rappahannock, VA",48613,2010,51157
163,"Baltimore, MD",48586,2010,24005
164,"McLean, ND",48412,2010,38055
165,"Burlington, NJ",48357,2010,34005
166,"El Dorado, CA",48228,2010,06017
167,"Cuming, NE",48180,2010,31039
168,"St. Tammany, LA",47982,2010,22103
169,"Washington, MN",47975,2010,27163
170,"Plymouth, MA",47969,2010,25023
171,"Denver, CO",47939,2010,08031
172,"Carroll, MD",47935,2010,24013
173,"Charles, MD",47909,2010,24017
174,"Towner, ND",47840,2010,38095
175,"Stephens, TX",47686,2010,48429
176,"Placer, CA",47680,2010,06061
177,"Alameda, CA",47625,2010,06001
178,"Sussex, NJ",47619,2010,34037
179,"San Miguel, CO",47593,2010,08113
180,"Wheeler, NE",47533,2010,31183
181,"Hillsborough, NH",47527,2010,33011
182,"Pembina, ND",47521,2010,38067
183,"Mountrail, ND",47520,2010,38061
184,"Wallace, KS",47507,2010,20199
185,"Sheridan, KS",47416,2010,20179
186,"Tulsa, OK",47337,2010,40143
187,"Spink, SD",47319,2010,46115
188,"Stafford, VA",47301,2010,51179
189,"Nelson, ND",47261,2010,38063
190,"Hutchinson, SD",47247,2010,46067
191,"Davidson, TN",47179,2010,47037
192,"Prince William, Manassas + Manassas Park, VA*",47117,2010,51942
193,"Grand Isle, VT",47086,2010,50013
194,"Rawlins, KS",47083,2010,20153
195,"Yakutat City and Borough, AK*",47078,2010,02282
196,"St. Mary's, MD",46967,2010,24037
197,"Washington, IL",46950,2010,17189
198,"Stafford, KS",46940,2010,20185
199,"Logan, ND",46889,2010,38047
200,"Mecklenburg, NC",46865,2010,37119
201,"Sublette, WY",46856,2010,56035
202,"Middlesex, NJ",46818,2010,34023
203,"Fairbanks North Star Borough, AK",46814,2010,02090
204,"Wells, ND",46814,2010,38103
205,"Hansford, TX",46762,2010,48195
206,"Napa, CA",46720,2010,06055
207,"Richland, MT",46684,2010,30083
208,"Sherman, TX",46605,2010,48421
209,"Edwards, KS",46581,2010,20047
210,"Wake, NC",46558,2010,37183
211,"Henrico, VA",46551,2010,51087
212,"Forsyth, GA",46546,2010,13117
213,"Rockwall, TX",46493,2010,48397
214,"Harford, MD",46464,2010,24025
215,"Oldham, KY",46277,2010,21185
216,"Chittenden, VT",46261,2010,50007
217,"Oliver, ND",46231,2010,38065
218,"Harris, TX",46134,2010,48201
219,"Cumberland, ME",46120,2010,23005
220,"Dallam, TX",46038,2010,48111
221,"Albany, NY",46011,2010,36001
222,"Stanley, SD",45990,2010,46117
223,"Ventura, CA",45947,2010,06111
224,"Allegheny, PA",45934,2010,42003
225,"New London, CT",45928,2010,09011
226,"Douglas, SD",45903,2010,46043
227,"Traill, ND",45853,2010,38097
228,"Minnehaha, SD",45788,2010,46099
229,"Kearny, KS",45762,2010,20093
230,"Platte, MO",45753,2010,29165
231,"Washtenaw, MI",45727,2010,26161
232,"King George, VA",45651,2010,51099
233,"Nevada, CA",45650,2010,06057
234,"Barnes, ND",45644,2010,38003
235,"Sarasota, FL",45631,2010,12115
236,"Grafton, NH",45573,2010,33009
237,"Isle of Wight, VA",45374,2010,51093
238,"Comal, TX",45360,2010,48091
239,"Lander, NV",45322,2010,32015
240,"Olmsted, MN",45268,2010,27109
241,"Oconee, GA",45247,2010,13219
242,"Travis, TX",45213,2010,48453
243,"Jefferson, CO*",45160,2010,08059
244,"Santa Barbara, CA",45155,2010,06083
245,"Fayette, GA",45144,2010,13113
246,"Castro, TX",45073,2010,48069
247,"Kent, RI",45036,2010,44003
248,"Clear Creek, CO",44975,2010,08019
249,"Dakota, MN",44973,2010,27037
250,"Tolland, CT",44972,2010,09013
251,"Fillmore, NE",44948,2010,31059
252,"Honolulu, HI",44945,2010,15003
253,"Sherman, OR",44927,2010,41055
254,"Kent, MD",44925,2010,24029
255,"Hughes, SD",44857,2010,46065
256,"Martin, TX",44856,2010,48317
257,"Chatham, NC",44842,2010,37037
258,"Virginia Beach (Independent City), VA",44787,2010,51810
259,"Dane, WI",44775,2010,55025
260,"Hanover, VA",44730,2010,51085
261,"Scott, MN",44723,2010,27139
262,"Mathews, VA",44721,2010,51115
263,"Banner, NE",44717,2010,31007
264,"Griggs, ND",44708,2010,38039
265,"New Castle, DE",44689,2010,10003
266,"Kearney, NE",44674,2010,31099
267,"Burleigh, ND",44653,2010,38015
268,"Washington, VT",44649,2010,50023
269,"Fallon, MT",44598,2010,30025
270,"Cape May, NJ",44553,2010,34009
271,"Carson City (Independent City), NV",44494,2010,32510
272,"McHenry, ND",44483,2010,38049
273,"Hodgeman, KS",44466,2010,20083
274,"Ness, KS",44402,2010,20135
275,"Pottawatomie, KS",44346,2010,20149
276,"Lac qui Parle, MN",44328,2010,27073
277,"Ward, ND",44313,2010,38101
278,"Lafayette, LA",44297,2010,22055
279,"New Haven, CT",44296,2010,09009
280,"Monroe, IL",44283,2010,17133
