GeoFips,GeoName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
01001,"Autauga, AL",,2.2234756278572743,2.1083200232321797,0.5773442166036258,2.7796629340572254,4.905494263625609,2.3393653291371663,2.30639126646508,2.890636741646202,3.588470152887324,6.112808460634556,8.334256162654196,0.9751809297951608
01003,"Baldwin, AL",,3.3942984482430605,0.686011670083575,0.31586916229409123,3.0446549391069055,4.808323652709734,3.638378873307313,3.4548498093555313,3.0428333857701384,4.490534764023391,6.9274279393041205,9.047433144641804,1.5788060502998302
01005,"Barbour, AL",,0.8578740583210287,-0.7933955183874741,5.990849814474575,0.04758344096253975,5.394754722108974,0.035456420835489055,2.990172386015799,3.9045145950004745,4.438288518864231,6.994377973187249,9.926975829268958,-0.5760509866405195
01007,"Bibb, AL",,3.2107530312699417,4.0074197163504355,0.7505387530653218,2.7400796577666364,3.234143364801323,-0.6119610570236467,1.0250489784494832,4.0031859265159175,6.895748010521752,8.827560428607018,6.402770622245124,0.9092131809011361
01009,"Blount, AL",,1.61567672135845,4.8016922263352635,1.0293672419013022,4.24865980754503,3.705004950653157,0.19403122978840504,3.839296692487393,4.422604422604426,3.645641389085763,4.299663575941581,12.375108174022497,2.0815831233081283
01011,"Bullock, AL",,1.888566057084251,3.702927115658805,-0.7440656718832095,-3.035241393359134,4.852941176470593,0.6010819475054996,2.2226648078072175,1.5235942797023005,4.106854993475095,12.428107948680145,7.896376455156573,-4.5862079445643245
01013,"Butler, AL",,1.0130398205272062,4.077454280459447,5.271405708188848,4.529186330092161,5.1237766263672935,-0.9108203147518257,3.6389551457327363,2.4249908782171925,3.3129641301071544,4.859158665322805,14.364850508423132,3.7666157963417657
01015,"Calhoun, AL",,2.248861029435534,0.957497234950222,-1.0673594591210755,2.5848704400923905,3.7287194670614365,1.0733505783010688,2.0032946990645506,2.731074260994948,3.158160687215772,7.739407298554979,8.724204996084971,-1.1894528981298613
01017,"Chambers, AL",,4.249954321213223,1.1602636006730283,0.5128382826847799,1.6720102044334162,4.0655092906551005,2.3883223094718353,-0.6014511201629325,4.062750120057634,3.193453113462952,8.073460139526567,7.390344827586204,-0.13614529014359666
01019,"Cherokee, AL",,3.113351556675781,4.059078702747376,3.956989247311826,4.757964418700866,5.195041924899746,-0.23392826199964967,2.68635113619915,4.40616807149099,2.146560103682904,5.656736538817375,11.635936053638885,0.584913271480425
01021,"Chilton, AL",,4.403703031403161,2.0933305514987177,0.6471389645776648,1.9560067681895,5.108204992033993,1.3073546594246421,3.481811664224921,3.76227483583349,5.045432113101289,6.486113030261165,9.031454375583925,0.5212796343901704
01023,"Choctaw, AL",,4.85381165919283,7.509921992609825,6.511154250071605,2.246855298933337,1.1367289091493538,1.0979485697775182,3.3152329236924905,4.116182572614102,2.120197672564972,5.450619211156216,6.804668031876826,7.278985423548701
01025,"Clarke, AL",,2.1639413144717956,2.303184014806181,4.348554390431847,3.457796898577703,3.919438927507457,2.6278854480843217,1.233741670788846,2.635739127935377,5.2705276128598655,9.694067571162535,8.60940000970074,0.882011432654517
01027,"Clay, AL",,-5.355859094176852,2.2483858716293215,1.4263427679964247,4.255474987182306,4.485738372909931,-0.638762817280214,1.813567924209103,3.236848227044642,3.0741992596169387,9.522173641474074,10.553480281730309,2.85272117616715
01029,"Cleburne, AL",,2.164224337718834,5.576882808682915,3.431178103927013,4.576542026206454,4.321251757227551,-0.6972111553784854,2.7081243731193583,1.829618566176472,1.6839195554678055,5.209431345353677,12.784750052731496,3.408373658741848
01031,"Coffee, AL",,1.6855360117451035,-0.18602843180808293,2.5146735653286623,2.108376522942512,4.1668881211799125,0.9005561508240278,1.691486940911724,3.455992043759326,2.8142273491948977,5.278043991491543,11.077066542329984,1.401215319421123
01033,"Colbert, AL",,2.418819363202318,0.04013336626327302,0.9010955099521656,3.608893782304179,2.435280573840659,1.4235490749812785,1.4206159790885353,1.9413939937247937,3.517546511308356,6.3261567867477275,9.312893238789567,0.6372481841852906
01035,"Conecuh, AL",,0.21648309912647434,1.966877629135566,7.124804876235791,0.7702182284980763,3.460148046135303,0.9417637271214696,3.863778722843114,4.8405015076971925,3.181955797759617,8.858308148235094,9.075471698113201,-0.2248745891714199
01037,"Coosa, AL",,6.668900804289546,2.285579641847324,1.5971742302080871,1.5040435341244107,6.306775874906934,3.8208307067311154,2.944847360431768,4.410511829084474,4.629048455937745,7.98164312066949,6.944444444444442,2.9012987012986935
01039,"Covington, AL",,0.04081910334037264,1.931315878952744,1.9480952698645693,3.150971795039581,2.6106264869151463,1.0325213305304892,4.179670766782939,2.6668233082706827,1.4160659114315077,6.981467377506978,9.89558614143331,-0.32630341418939945
01041,"Crenshaw, AL",,-2.554244257965299,4.3778090369506195,9.936561154389768,2.825449979070749,6.900061062487284,-4.822652594929822,3.389442999628467,2.968737042872549,1.5247912807709874,5.5950712604775354,14.147990484537365,5.038938247230451
01043,"Cullman, AL",,1.3299266247379427,3.866295985000323,4.873949579831938,1.115859449192791,6.4921343038271795,-2.2075846102965535,4.086463940478535,2.9919042590637046,4.897733845102259,5.714142502694175,10.860339963490674,5.046832898507336
01045,"Dale, AL",,2.678059237341879,-2.143613267466482,0.003004897983704957,1.024639423076934,2.25751762291424,0.0,1.6172193135543855,3.2745591939546514,3.384146341463423,7.9434867697916856,9.529604609576792,-0.2993129407496409
