femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,incidentBeginDate,incidentEndDate,disasterCloseoutDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,lastRefresh,hash,id,year
DR-4026-NH,4026,NH,DR,2011-09-03 00:00:00+00:00,2011,Hurricane,2011-08-26 00:00:00+00:00,2011-09-06 00:00:00+00:00,2024-06-06T00:00:00.000Z,False,33,001,99001,Belknap (County),11212,2011-11-07T00:00:00.000Z,2024-06-06T14:21:25.147Z,0fa50b952e886d455c820b9472a8d53524ecc42e,d8405b0e-077f-48df-b996-c0071b22d95b,2011
FM-5464-RI,5464,RI,FM,2023-04-14 00:00:00+00:00,2023,Fire,2023-04-14 00:00:00+00:00,2023-04-16 00:00:00+00:00,,False,44,009,99009,"Washington (County)(in (P)MSA 5520,6480)",23042,,2023-05-22T03:41:22.800Z,1111d4d4a33f8a6e4d383ac5bd0e60b9bf142da0,9b9a9d9c-8b03-4049-9b16-a3c0d581556c,2023
FM-5463-KS,5463,KS,FM,2023-04-13 00:00:00+00:00,2023,Fire,2023-04-13 00:00:00+00:00,2023-04-16 00:00:00+00:00,,False,20,201,99201,Washington (County),23038,,2023-05-22T03:41:22.800Z,78dd55a181f146622eb65835b5d794689d1ea7f2,57d936ce-a0d7-412a-9d78-18aee530c146,2023
DR-4026-NH,4026,NH,DR,2011-09-03 00:00:00+00:00,2011,Hurricane,2011-08-26 00:00:00+00:00,2011-09-06 00:00:00+00:00,2024-06-06T00:00:00.000Z,False,33,007,99007,Coos (County),11212,2011-11-07T00:00:00.000Z,2024-06-06T14:21:25.147Z,872885e57fefb8d6e3026fc631c133b6bdb3dd3c,2af5f39b-c1e7-4a6f-8c98-33ac215455a1,2011
DR-4731-CO,4731,CO,DR,2023-08-25 00:00:00+00:00,2023,Flood,2023-06-08 00:00:00+00:00,2023-06-23 00:00:00+00:00,,False,08,009,99009,Baca (County),23081,,2023-10-02T19:21:20.859Z,44d903d3d79b5295f58aefdd35682a8d3011644d,fe1befa2-d7ac-4400-b430-36bf30ac9a15,2023
DR-4026-NH,4026,NH,DR,2011-09-03 00:00:00+00:00,2011,Hurricane,2011-08-26 00:00:00+00:00,2011-09-06 00:00:00+00:00,2024-06-06T00:00:00.000Z,False,33,013,99013,Merrimack (County),11212,2011-11-07T00:00:00.000Z,2024-06-06T14:21:25.147Z,0821edf977dba42500aadef02977116530af8bdb,6d27c6da-3d9b-47c3-98f5-dee1cd80b577,2011
DR-4026-NH,4026,NH,DR,2011-09-03 00:00:00+00:00,2011,Hurricane,2011-08-26 00:00:00+00:00,2011-09-06 00:00:00+00:00,2024-06-06T00:00:00.000Z,False,33,017,99017,Strafford (County),11212,2011-11-07T00:00:00.000Z,2024-06-06T14:21:25.147Z,e832b2fc1cf89ec84d3c91640fc87094e45b413b,40c33f06-057b-4250-9b03-af192f71f044,2011
DR-4026-NH,4026,NH,DR,2011-09-03 00:00:00+00:00,2011,Hurricane,2011-08-26 00:00:00+00:00,2011-09-06 00:00:00+00:00,2024-06-06T00:00:00.000Z,False,33,019,99019,Sullivan (County),11212,2011-11-07T00:00:00.000Z,2024-06-06T14:21:25.147Z,fcd6ff87096f6bd90d752cab79ea5f255ea2bdaa,c5fa1f93-a5ba-450d-ba33-910bbc624548,2011
DR-4731-CO,4731,CO,DR,2023-08-25 00:00:00+00:00,2023,Flood,2023-06-08 00:00:00+00:00,2023-06-23 00:00:00+00:00,,False,08,061,99061,Kiowa (County),23081,,2023-10-02T19:21:20.859Z,ecfd4777766336e18a46d1eb231fc25922f8b014,880f5941-94fb-4c00-afb8-2f1e32fe1b5b,2023
DR-4026-NH,4026,NH,DR,2011-09-03 00:00:00+00:00,2011,Hurricane,2011-08-26 00:00:00+00:00,2011-09-06 00:00:00+00:00,2024-06-06T00:00:00.000Z,False,33,003,99003,Carroll (County),11212,2011-11-07T00:00:00.000Z,2024-06-06T14:21:25.147Z,a20945caaf4d934fac394bd012930ad837b52acb,ff6ba438-021e-44f1-a590-94b490b90c0f,2011
DR-4026-NH,4026,NH,DR,2011-09-03 00:00:00+00:00,2011,Hurricane,2011-08-26 00:00:00+00:00,2011-09-06 00:00:00+00:00,2024-06-06T00:00:00.000Z,False,33,009,99009,Grafton (County),11212,2011-11-07T00:00:00.000Z,2024-06-06T14:21:25.147Z,751f07810ae2d81c1ce5904484d8def95cad8d77,e801d478-a4ac-4100-9397-50cbbdfed6e6,2011
DR-4731-CO,4731,CO,DR,2023-08-25 00:00:00+00:00,2023,Flood,2023-06-08 00:00:00+00:00,2023-06-23 00:00:00+00:00,,False,08,099,99099,Prowers (County),23081,,2023-10-02T19:21:20.859Z,90ab966409613986143ee242870748e8d19aa525,875a66ca-6234-423a-9e92-3626484e11d6,2023
